wind_speed,power_kw
0.1,0.0
0.2,0.0
0.3,0.0
0.4,0.0
0.5,0.0
0.6,0.0
0.7,0.0
0.8,0.0
0.9,0.0
1.0,0.0
1.1,0.0
1.2,0.0
1.3,0.0
1.4,0.0
1.5,0.0
1.6,0.0
1.7,0.0
1.8,0.0
1.9,0.0
2.0,0.0
2.1,0.0
2.2,0.0
2.3,0.0
2.4,0.0
2.5,0.0
2.6,0.0
2.7,0.0
2.8,0.0
2.9,0.0
3.0,35.0
3.1,53.7
3.2,72.4
3.3,91.1
3.4,109.8
3.5,128.5
3.6,147.2
3.7,165.9
3.8,184.6
3.9,203.3
4.0,228.0
4.1,255.2
4.2,288.4
4.3,321.6
4.4,354.8
4.5,388.0
4.6,421.2
4.7,454.4
4.8,487.6
4.9,520.8
5.0,557.0
5.1,600.5
5.2,647.0
5.3,693.5
5.4,740.0
5.5,786.5
5.6,833.0
5.7,879.5
5.8,926.0
5.9,972.5
6.0,1025.0
6.1,1081.3
6.2,1143.6
6.3,1205.9
6.4,1268.2
6.5,1330.5
6.6,1392.8
6.7,1455.1
6.8,1517.4
6.9,1579.7
7.0,1642.0
7.1,1720.7
7.2,1799.4
7.3,1878.1
7.4,1956.8
7.5,2035.5
7.6,2114.2
7.7,2192.9
7.8,2271.6
7.9,2350.3
8.0,2429.0
8.1,2481.9
8.2,2534.8
8.3,2587.7
8.4,2640.6
8.5,2693.5
8.6,2746.4
8.7,2799.3
8.8,2852.2
8.9,2905.1
9.0,2935.0
9.1,2973.5
9.2,2989.0
9.3,3004.5
9.4,3025.0
9.5,3035.5
9.6,3051.0
9.7,3066.5
9.8,3082.0
9.9,3097.5
10.0,3113.0
10.1,3116.7
10.2,3120.4
10.3,3124.1
10.4,3127.8
10.5,3131.5
10.6,3135.2
10.7,3138.9
10.8,3142.6
10.9,3146.3
11.0,3150.0
11.1,3150.0
11.2,3150.0
11.3,3150.0
11.4,3150.0
11.5,3150.0
11.6,3150.0
11.7,3150.0
11.8,3150.0
11.9,3150.0
12.0,3150.0
12.1,3150.0
12.2,3150.0
12.3,3150.0
12.4,3150.0
12.5,3150.0
12.6,3150.0
12.7,3150.0
12.8,3150.0
12.9,3150.0
13.0,3150.0
13.1,3150.0
13.2,3150.0
13.3,3150.0
13.4,3150.0
13.5,3150.0
13.6,3150.0
13.7,3150.0
13.8,3150.0
13.9,3150.0
14.0,3150.0
14.1,3150.0
14.2,3150.0
14.3,3150.0
14.4,3150.0
14.5,3150.0
14.6,3150.0
14.7,3150.0
14.8,3150.0
14.9,3150.0
15.0,3150.0
15.1,3150.0
15.2,3150.0
15.3,3150.0
15.4,3150.0
15.5,3150.0
15.6,3150.0
15.7,3150.0
15.8,3150.0
15.9,3150.0
16.0,3150.0
16.1,3150.0
16.2,3150.0
16.3,3150.0
16.4,3150.0
16.5,3150.0
16.6,3150.0
16.7,3150.0
16.8,3150.0
16.9,3150.0
17.0,3150.0
17.1,3150.0
17.2,3150.0
17.3,3150.0
17.4,3150.0
17.5,3150.0
17.6,3150.0
17.7,3150.0
17.8,3150.0
17.9,3150.0
18.0,0.0
